start_jst,home_away,opponent,week,season_type
2018-09-17 02:00,home,MIN,2,REG
2018-09-24 02:00,away,WAS,3,REG
2018-10-01 02:00,home,BUF,4,REG
2018-10-08 02:00,away,DET,5,REG
2018-10-16 09:15,home,SF,6,REG
2018-10-29 05:25,away,LA,8,REG
2018-11-05 10:20,away,NE,9,REG
2018-11-12 06:25,home,MIA,10,REG
2018-11-16 10:20,away,SEA,11,REG
2018-11-26 10:20,away,MIN,12,REG
2018-12-03 03:00,home,ARI,13,REG
2018-12-10 03:00,home,ATL,14,REG
2018-12-17 03:00,away,CHI,15,REG
2018-12-24 03:00,away,NYJ,16,REG
2018-12-31 03:00,home,DET,17,REG
2019-09-06 09:20,away,CHI,1,REG
2019-09-16 02:00,home,MIN,2,REG
2019-09-23 02:00,home,DEN,3,REG
2019-09-27 09:20,home,PHI,4,REG
2019-10-07 05:25,away,DAL,5,REG
2019-10-15 09:15,home,DET,6,REG
2019-10-21 02:00,home,OAK,7,REG
2019-10-28 09:20,away,KC,8,REG
2019-11-04 06:25,away,LAC,9,REG
2019-11-11 06:25,home,CAR,10,REG
2019-11-25 10:20,away,SF,12,REG
2019-12-02 03:00,away,NYG,13,REG
2019-12-09 03:00,home,WAS,14,REG
2019-12-16 03:00,home,CHI,15,REG
2019-12-24 10:15,away,MIN,16,REG
2019-12-30 03:00,away,DET,17,REG
2020-01-13 08:40,home,SEA,19,DIV
2020-01-20 08:40,away,SF,20,CON
2020-09-14 02:00,away,MIN,1,REG
2020-09-21 02:00,home,DET,2,REG
2020-09-28 09:20,away,NO,3,REG
2020-10-06 10:00,home,ATL,4,REG
2020-10-19 05:25,away,TB,6,REG
2020-10-26 02:00,away,HOU,7,REG
2020-11-02 03:00,home,MIN,8,REG
2020-11-06 10:20,away,SF,9,REG
2020-11-16 03:00,home,JAX,10,REG
2020-11-23 06:25,away,IND,11,REG
2020-11-30 10:20,home,CHI,12,REG
2020-12-07 06:25,home,PHI,13,REG
2020-12-14 06:25,away,DET,14,REG
2020-12-20 10:15,home,CAR,15,REG
2020-12-28 10:20,home,TEN,16,REG
2021-01-04 06:25,away,CHI,17,REG
2021-01-17 06:35,home,LA,19,DIV
2021-01-25 05:05,home,TB,20,CON
2021-09-13 05:25,away,NO,1,REG
2021-09-21 09:15,home,DET,2,REG
2021-09-27 09:20,away,SF,3,REG
2021-10-04 05:25,home,PIT,4,REG
2021-10-11 02:00,away,CIN,5,REG
